Method,Total Time (s),Time/Sample (s),Speedup vs DDPM
DDPM (1000),6.742,0.4214,1.00x
DDIM (10),0.067,0.0042,100.44x
RF Euler (10),0.054,0.0034,124.29x
RF Heun (10),0.126,0.0079,53.35x
LDM DDIM (10),0.024,0.0015,282.73x
LRF Euler (10),0.013,0.0008,520.94x
DDIM (25),0.166,0.0104,40.54x
RF Euler (25),0.149,0.0093,45.25x
RF Heun (25),0.316,0.0197,21.35x
LDM DDIM (25),0.043,0.0027,155.60x
LRF Euler (25),0.031,0.0019,219.44x
DDIM (50),0.333,0.0208,20.27x
RF Euler (50),0.307,0.0192,21.96x
RF Heun (50),0.632,0.0395,10.67x
LDM DDIM (50),0.077,0.0048,87.64x
LRF Euler (50),0.061,0.0038,110.87x
DDIM (100),0.663,0.0415,10.16x
RF Euler (100),0.623,0.0389,10.82x
RF Heun (100),1.264,0.0790,5.34x
LDM DDIM (100),0.145,0.0091,46.55x
LRF Euler (100),0.121,0.0076,55.75x
